Date,Venue,Race_no,Race_name,Surface,Distance,Order_of_finish,Frame_number,Horse_numbers,Horse_name,Sex,Age,Horse_weight,Time,D_horse_weight,Margin,Time_3F,Jockey_name,Load_weight,Odds_order,Odds,Trainer
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,1,2,4,プリームムロジンカ,牝,3,460,79.6,4,,36.7,戸崎 圭太,54.0,2,4.4,高橋 裕
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,2,2,3,フルネス,牝,3,450,79.6,0,クビ,36.4,柴田 善臣,54.0,6,7.7,田島 俊明
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,3,3,5,カレイドスコープ,牝,3,468,80.2,6,31/2馬身,37.2,吉田 隼人,54.0,7,26.6,菊沢 隆徳
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,4,1,2,ローズピルグリム,牝,3,420,80.3,0,クビ,37.3,藤田 菜七子,51.0,12,70.2,蛯名 利弘
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,5,4,8,シングシングシング,牝,3,456,80.3,0,ハナ,37.0,大野 拓弥,54.0,9,46.1,新開 幸一
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,6,1,1,カシマフウリン,牝,3,478,80.4,4,1/2馬身,37.2,田辺 裕信,54.0,3,5.2,奥村 武
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,7,8,16,エルモアレッタ,牝,3,458,80.5,2,1/2馬身,36.8,野中 悠太郎,51.0,1,4.3,小西 一男
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,8,3,6,ロージズラヴ,牝,3,444,80.6,14,クビ,35.9,木幡 初広,54.0,14,139.6,杉浦 宏昭
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,9,6,11,プロローグ,牝,3,480,80.7,14,1/2馬身,36.6,武藤 雅,51.0,11,68.7,松永 康利
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,10,5,10,ベリッシマ,牝,3,476,80.9,16,11/4馬身,36.8,横山 典弘,54.0,8,45.1,武井 亮
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,11,8,15,ブチャコ,牝,3,504,81.1,4,11/4馬身,37.3,木幡 巧也,53.0,5,6.8,牧 光二
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,12,4,7,ファンダンゴ,牝,3,434,81.2,2,3/4馬身,37.3,松岡 正海,54.0,15,195.8,伊藤 伸一
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,13,5,9,ムテキノオジョウ,牝,3,444,81.5,4,2馬身,38.0,三浦 皇成,54.0,4,5.7,小野 次郎
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,14,6,12,ハッピーリフレイン,牝,3,412,81.9,2,21/2馬身,38.4,嶋田 純次,54.0,16,342.9,南田 美知雄
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,15,7,14,ニシノシノブ,牝,3,440,82.0,0,1/2馬身,38.3,江田 照男,54.0,13,76.7,本間 忍
2018/2/3,東京,1,サラ系3歳未勝利,ダート,1300,,7,13,ゴムマリ,牝,3,458,,-2,,,柴山 雄一,54.0,10,68.6,浅野 洋一郎
